ACCTTYPE,IMPDESCRIPTION,EXT CONDITION,INT CONDITION,IMPQUALITY,AYB,EYB,IMPNETSF,BEDROOMCOUNT,BATHCOUNT,MaxOfCURR ACT,ECONOMICAREACODE
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1973,1973,891.0,0.0,1.0,36690,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1978,1978,728.0,2.0,1.0,37480,1
Residential,MANUFACTURED HOUSING,Average,,Average,1971,1971,868.0,2.0,1.0,55860,1
Residential,MANUFACTURED HOUSING,Minimum,,Low,1962,1964,520.0,2.0,1.0,0,1
Residential,MANUFACTURED HOUSING,Below Average,,Low,1962,1962,598.0,2.0,1.0,48130,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1972,1972,938.0,0.0,1.0,38630,1
Residential,MANUFACTURED HOUSING,Average,,Low,1960,1969,520.0,2.0,1.0,34600,8
Residential,MANUFACTURED HOUSING,Average,,Fair,1972,1972,960.0,3.0,1.7,71390,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1972,1979,2000.0,4.0,1.7,135200,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1973,1973,644.0,2.0,1.0,33150,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1973,1977,805.0,2.0,2.0,45760,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1972,1972,1200.0,3.0,1.7,89230,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1975,1975,1050.0,2.0,2.0,39310,1
Residential,Manufactured Housing,Average,,Fair,1978,1978,924.0,3.0,1.5,43240,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1974,1974,994.0,2.0,1.0,46520,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1973,1973,840.0,2.0,1.0,39310,1
Residential,MANUFACTURED HOUSING,Minimum,,Low,1962,1962,520.0,0.0,1.0,0,1
Residential,MANUFACTURED HOUSING,Below Average,,Low,1960,1960,630.0,3.0,1.0,35140,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1980,1980,1050.0,2.0,2.0,54050,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1975,1975,924.0,2.0,2.0,34590,1
Residential,MANUFACTURED HOUSING,Below Average,,Low,1963,1963,520.0,2.0,1.5,71180,2
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1980,1982,972.0,2.0,1.0,36390,1
Residential,MANUFACTURED HOUSING,Below Average,,Low,1969,1969,744.0,2.0,1.0,40740,2
Residential,MANUFACTURED HOUSING,Below Average,,Low,1960,1971,594.0,1.0,1.0,71180,2
Residential,MANUFACTURED HOUSING,Below Average,,Low,1964,1964,644.0,1.0,1.0,91440,2
Residential,MANUFACTURED HOUSING,Average,,Average,1978,1978,891.0,2.0,1.0,140730,2
Residential,MANUFACTURED HOUSING,Average,,Fair,1972,1972,854.0,0.0,1.0,41620,8
Residential,MANUFACTURED HOUSING,Minimum,,Low,1958,1958,420.0,0.0,1.0,0,8
Residential,MANUFACTURED HOUSING,Salvage,,Low,1971,1971,564.0,2.0,1.0,0,8
Residential,Manufactured Housing,Below Average,,Average,1981,1981,1058.0,3.0,1.2,54470,1
Residential,MANUFACTURED HOUSING,Average,,Average,1981,1981,938.0,3.0,2.0,60360,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1979,1979,938.0,2.0,1.0,48290,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1981,1981,715.0,2.0,1.0,28110,1
Residential,Manufactured Housing,Below Average,,Low,1967,1967,480.0,2.0,1.0,0,8
