ACCTTYPE,IMPDESCRIPTION,EXT CONDITION,INT CONDITION,IMPQUALITY,AYB,EYB,IMPNETSF,BEDROOMCOUNT,BATHCOUNT,MaxOfCURR ACT,ECONOMICAREACODE
Residential,Single Family Dwelling,Minimum,,Low Plus,1915,1945,2030.0,3.0,1.0,253350,6
Residential,SUMMER SFR,Average,,Poor,1948,1948,450.0,0.0,0.0,229020,8
Residential,EC 8 MANUFACT PURGED/ MSO,Average,,Fair,1967,1980,672.0,2.0,1.0,58290,8
Residential,Single Family Dwelling,Good,Average,Fair,1901,1935,752.0,2.0,1.0,280110,8
Residential,RANCH,Average,Average,Average,1976,1976,2300.0,3.0,2.0,685180,1
Residential,Single Family Dwelling,Average,,Fair,1930,1975,984.0,0.0,0.0,296030,8
Residential,CONVENTION,Average,,Fair,1946,1963,1408.0,2.0,1.0,467440,8
Residential,SUMMER SFR,Average,,Fair,1920,1948,611.0,1.0,1.0,209980,8
Residential,SUMMER SFR,Average,,Fair,1999,1999,1175.0,2.0,1.0,376410,8
Residential,CONVENTION,Average,Average,Fair,1934,1967,1156.0,2.0,1.0,402980,8
Residential,Single Family Dwelling,Below Average,Below Average,Low,1972,1974,858.0,2.0,1.0,135560,8
Residential,SUMMER SFR,Below Average,,Fair,1882,1928,1280.0,1.0,0.0,266520,8
Residential,Single Family Dwelling,Average,Average,Fair,1905,1980,1377.0,3.0,2.0,348170,8
Residential,RANCH,Average,,Fair,2000,2000,1632.0,0.0,0.0,407260,1
Residential,SUMMER SFR,Below Average,,Fair,1959,1970,961.0,3.0,1.0,254720,8
Residential,Single Family Dwelling,Average,Average,Fair,1961,1971,1351.0,3.0,1.0,384040,1
Residential,CABIN,Below Average,,Low,1979,1979,1248.0,2.0,1.0,176830,8
Residential,SUMMER SFR,Below Average,,Fair,1950,1955,752.0,2.0,1.0,330500,8
Residential,SUMMER SFR,Average,,Fair,1885,1965,731.0,0.0,1.0,227420,8
Residential,LOG HOME,Good,Average,Fair,1945,1977,965.0,2.0,2.0,353550,8
Residential,CONVENTION,Average,,Fair,1974,1974,2534.0,0.0,2.0,543010,1
Residential,RANCH,Average,,Average,1979,1979,1336.0,3.0,2.0,426990,1
Residential,SUMMER SFR,Average,,Fair,1946,1987,936.0,2.0,2.0,448570,8
Residential,Single Family Dwelling,Average,,Average,2001,2001,3818.0,4.0,3.0,1610350,8
Residential,Single Family Dwelling,Average,,Fair,2007,2007,1216.0,1.0,1.0,227100,8
Residential,CABIN,Average,,Low,1999,1999,600.0,1.0,0.0,140830,8
Residential,Single Family Dwelling,Average,,Fair,1999,1999,1736.0,2.0,1.0,459740,8
Residential,Single Family Dwelling,Average,,Average,1994,1994,,2.0,2.0,512000,8
Residential,Single Family Dwelling,Below Average,Below Average,Low,1965,1965,480.0,0.0,0.0,74910,8
Residential,CABIN,Average,,Fair,1930,1948,408.0,0.0,0.0,137760,8
Residential,CABIN,Below Average,,Poor,1930,1930,1152.0,0.0,0.0,56200,8
Residential,CABIN,Average,Average,Fair,1998,1998,625.0,0.0,0.0,175630,8
Residential,Single Family Dwelling,Good,,Good,1992,2006,1590.0,3.0,2.0,686000,8
Residential,SUMMER SFR,Average,,Fair,2005,2005,1772.0,2.0,2.0,424730,8
Residential,Single Family Dwelling,Average,,Fair,1972,1972,2078.0,3.0,2.0,408700,1
Residential,CABIN,Average,,Fair,1981,1981,650.0,1.0,0.0,216410,8
Residential,LOG HOME,Average,,Average,1986,1986,1260.0,2.0,2.0,476140,1
Residential,Single Family Dwelling,Average,Average,Fair,1986,1986,1188.0,1.0,1.0,436160,8
Residential,CONVENTION,Average,,Low,1952,1966,1072.0,2.0,1.0,198340,8
Residential,A FRAME,Below Average,,Fair,1975,1975,1680.0,3.0,1.0,342580,8
Residential,RANCH,Average,,Fair,1979,1980,1996.0,4.0,2.0,473700,1
Residential,Single Family Dwelling,Average,Average,Fair,1972,2018,0.0,3.0,2.0,727600,8
Residential,Single Family Dwelling,Average,,Fair,1979,1982,2382.0,3.0,2.0,622740,8
Residential,CONVENTION,Average,,Average,1979,1992,3704.0,4.0,4.0,1660700,8
Residential,CABIN,Average,Average,Low,2000,2000,527.0,0.0,1.0,141760,8
Residential,RANCH,Average,,Fair,1980,1986,2016.0,3.0,2.0,460580,1
Residential,RANCH,Average,,Fair,1976,1976,1120.0,0.0,2.0,412090,1
Residential,BI-LEVEL,Average,Average,Average,1978,1978,1616.0,3.0,3.0,614100,1
Residential,CONVENTION,Average,,Fair,1900,1957,917.0,2.0,1.0,267910,8
Residential,Single Family Dwelling,Good,,Average,2017,2017,0.0,2.0,2.0,485190,8
Residential,Single Family Dwelling,Average,,Fair,2001,2001,1328.0,2.0,2.0,358970,1
Residential,CONVENTION,Average,,Fair,1974,1980,1621.0,2.0,1.0,568320,8
Residential,RANCH,Average,,Fair,1974,1974,770.0,2.0,1.0,318500,8
Residential,CABIN,Average,,Low,1975,1975,750.0,2.0,0.0,159850,8
Residential,Single Family Dwelling,Average,,Fair,1973,1976,2371.0,3.0,3.0,488690,1
Residential,CONVENTION,Average,,Average,1979,1991,940.0,4.0,3.0,482680,1
Residential,SPLIT-LEVL,Average,,Average,1980,1980,1590.0,3.0,2.0,578310,1
Residential,CONVENTION,Average,,Average,1967,1984,2405.0,5.0,3.0,883470,1
Residential,CONVENTION,Below Average,,Fair,1968,1975,2151.0,3.0,3.0,395450,1
Residential,Single Family Dwelling,Average,Average,Average,1996,1996,1695.0,3.0,3.0,758400,1
Residential,Single Family Dwelling,Average,,Fair,1985,1985,792.0,1.0,1.0,257040,8
Residential,CONVENTION,Average,,Average,1971,1986,2568.0,4.0,2.0,632530,1
Residential,CONVENTION,Average,,Fair,1875,1975,2966.0,3.0,1.0,556580,8
Residential,Single Family Dwelling,Average,Below Average,Fair,1996,1996,1428.0,1.0,1.0,324340,8
Residential,RANCH,Average,,Fair,1980,1980,1512.0,4.0,3.0,483080,1
Residential,Single Family Dwelling,Average,,Average,1990,1990,,4.0,3.0,568700,8
Residential,CABIN,Average,,Average,1974,1984,1400.0,3.0,2.0,475250,8
Residential,Single Family Dwelling,Average,,Average,2012,2012,1427.0,3.0,2.0,586230,8
Residential,Single Family Dwelling,Good,Good,Fair,2009,2009,780.0,2.0,1.0,240210,8
Residential,Single Family Dwelling,Below Average,,Fair,1949,1981,624.0,1.0,0.0,227240,8
Residential,A FRAME,Good,Good,Fair,1966,1985,2320.0,3.0,1.0,971200,8
Residential,Single Family Dwelling,Average,Average,Low,1978,1978,731.0,0.0,0.0,150820,8
Residential,Single Family Dwelling,Average,,Average,1973,1979,988.0,2.0,1.0,367870,8
Residential,CONVENTION,Average,,Fair,1978,1978,1733.0,4.0,3.0,525260,1
Residential,Single Family Dwelling,Average,,Fair,1982,1982,1120.0,1.0,1.0,211410,8
Residential,Single Family Dwelling,Average,Average,Average,1974,1979,1288.0,1.0,2.0,1281410,8
Residential,Single Family Dwelling,Average,,Average,1986,1989,2517.0,3.0,3.0,620400,1
Residential,Single Family Dwelling,Average,,Fair,1949,1964,840.0,1.0,1.0,336100,8
Residential,CONVENTION,Average,,Fair,1972,1978,1652.0,3.0,2.0,570440,8
Residential,CONVENTION,Average,,Fair,1975,1975,864.0,3.0,1.0,594880,8
Residential,RANCH,Average,,Fair,1979,1979,646.0,1.0,1.0,240640,1
Residential,Duplex,Average,,Fair,1978,1978,1274.0,3.0,2.0,444050,1
Residential,CABIN,Average,,Low,1972,1972,504.0,0.0,1.0,453450,8
Residential,Single Family Dwelling,Average,Average,Average,1998,1998,1248.0,3.0,2.0,342170,8
Residential,Single Family Dwelling,Average,Average,Average,1980,2000,1676.0,2.0,2.0,493960,8
Residential,LOG HOME,Average,,Good,2002,2002,1512.0,3.0,2.0,964640,8
Residential,CONVENTION,Average,,Fair,1980,1980,1391.0,2.0,2.0,436100,8
Residential,CONVENTION,Average,,Average,1979,1979,1716.0,0.0,2.0,901170,8
Residential,Single Family Dwelling,Below Average,,Low,1974,1974,910.0,3.0,1.0,223280,8
Residential,Single Family Dwelling,Below Average,Below Average,Fair,1981,1981,986.0,2.0,1.0,178980,8
Residential,LINE CABIN,Average,,Low,1900,1950,377.0,0.0,0.0,83140,8
Residential,RANCH,Average,,Fair,1976,1976,940.0,3.0,2.0,411550,1
Residential,Single Family Dwelling,Average,Good,Average,1958,1980,1200.0,2.0,3.0,689250,8
Residential,CONVENTION,Average,,Average,1992,1992,1344.0,2.0,2.0,407370,1
Residential,Single Family Dwelling,Average,,Low,2010,2010,339.0,0.0,0.0,291600,8
Residential,Single Family Dwelling,Average,Average,Fair,1979,1980,1536.0,2.0,2.0,524560,8
Residential,Single Family Dwelling,Average,,Fair,1979,1979,1810.0,3.0,2.0,703290,8
Residential,CONVENTION,Average,,Fair,1953,1967,1977.0,,2.0,619050,8
Residential,A FRAME,Average,,Low Plus,1982,1982,632.0,0.0,0.0,116570,8
Residential,BERM,Minimum,,Low,1980,1980,0.0,1.0,1.0,209010,8
Residential,CONVENTION,Below Average,,Fair,1969,1970,1340.0,2.0,1.0,317840,8
Residential,RANCH,Average,,Fair,1979,1979,1106.0,0.0,2.0,483970,1
Residential,EC 8 MANUFACT PURGED/ MSO,Average,,Low,1970,1970,1200.0,2.0,1.0,111790,8
Residential,CONVENTION,Average,,Average,1987,1987,1386.0,2.0,1.0,370820,8
Residential,CABIN,Average,,Fair,2006,2006,888.0,2.0,1.0,301550,8
Residential,CONVENTION,Average,,Average,1988,1988,1362.0,2.0,2.0,392270,8
Residential,Single Family Dwelling,Very Good,Excellent,Average,2020,2020,1961.0,2.0,1.0,845300,8
Residential,Single Family Dwelling,Average,Average,Average,2000,2000,1008.0,0.0,1.0,314040,8
Residential,Single Family Dwelling,Very Good,Good,Fair,2011,2011,1010.0,2.0,2.0,329160,8
Residential,Single Family Dwelling,Good,,Average,1993,1993,1628.0,2.0,2.0,811490,8
Residential,SUMMER SFR,Average,,Fair,1953,1964,1375.0,2.0,1.0,377300,8
Residential,SUMMER SFR,Average,,Fair,1882,1928,497.0,0.0,0.0,156300,8
Residential,CONVENTION,Good,,Good,1970,1995,3569.0,3.0,4.0,3302490,8
Residential,Single Family Dwelling,Average,,Fair,1960,1960,1496.0,3.0,2.0,487430,8
Residential,CONVENTION,Average,,Average,1980,1980,1730.0,0.0,2.0,504230,1
Residential,Single Family Dwelling,Good,,Average,1997,1997,2168.0,2.0,2.0,635980,8
Residential,Single Family Dwelling,Average,,Average,1979,1990,1320.0,4.0,2.0,611770,8
Residential,CABIN,Average,,Fair,1979,1979,768.0,0.0,0.0,203550,8
Residential,SUMMER SFR,Below Average,,Fair,1954,1956,1055.0,2.0,1.0,186100,8
Residential,SUMMER SFR,Average,,Fair,2007,2007,1367.0,2.0,1.0,536520,8
Residential,Single Family Dwelling,Minimum,,Low,1983,1983,892.0,1.0,1.0,89890,8
Residential,Single Family Dwelling,Average,Average,Average,2009,2009,2258.0,3.0,3.0,1511790,8
Residential,Single Family Dwelling,Very Good,Very Good,Good,1977,2000,3209.0,3.0,3.0,2481880,8
Residential,SUMMER SFR,Average,,Fair,1962,1962,600.0,0.0,0.0,150000,8
Residential,CONVENTION,Below Average,,Fair,1930,1950,909.0,2.0,1.0,218530,1
Residential,SUMMER SFR,Below Average,,Poor,1987,1987,576.0,0.0,0.0,73480,8
Residential,Duplex,Average,,Fair,1964,1973,840.0,4.0,2.0,214180,8
Residential,Single Family Dwelling,Average,,Good,1979,2000,,6.0,6.0,2642260,6
Residential,Single Family Dwelling,Average,Good,Average,1978,2000,1825.0,3.0,2.0,633810,8
Residential,Single Family Dwelling,Good,Good,Average,1997,1997,1350.0,2.0,2.0,881130,8
Residential,Single Family Dwelling,Average,Average,Average,1983,1995,1596.0,4.0,2.0,676120,8
Residential,CONVENTION,Below Average,,Fair,1930,1965,1722.0,3.0,1.0,282270,1
Residential,Single Family Dwelling,Average,,Average,1979,1989,2047.0,3.0,2.0,489630,1
Residential,SUMMER SFR,Average,,Low,1975,1975,722.0,2.0,0.0,148010,8
Residential,CONVENTION,Average,Average,Average,1994,1994,1998.0,3.0,3.0,688360,1
Residential,CONVENTION,Average,,Average,1997,1997,1882.0,2.0,2.0,579920,1
Residential,CONVENTION,Average,,Fair,1974,1974,1276.0,3.0,2.0,435060,1
Residential,SUMMER SFR,Average,,Fair,1973,1973,576.0,1.0,1.0,191800,8
Residential,Single Family Dwelling,Average,Average,Fair,1975,1975,992.0,3.0,1.0,313190,8
Residential,Single Family Dwelling,Average,Average,Average,2003,2003,3626.0,3.0,4.0,1787920,8
Residential,CONVENTION,Average,,Fair,1965,1965,1305.0,3.0,1.0,341110,1
Residential,SUMMER SFR,Salvage,,Poor,1911,1943,654.0,0.0,0.0,18920,8
Residential,SUMMER SFR,Average,,Low,1920,1963,1257.0,1.0,0.0,223720,8
Residential,CONVENTION,Average,Average,Fair,1977,1977,1360.0,3.0,2.0,410740,1
Residential,Single Family Dwelling,Very Good,Very Good,Good,2001,2001,2004.0,2.0,2.0,835170,8
Residential,CONVENTION,Average,,Fair,1930,1954,1483.0,3.0,2.0,318750,8
Residential,SUMMER SFR,Below Average,,Fair,1885,1937,1092.0,2.0,1.0,237850,8
Residential,CONVENTION,Average,,Fair,1984,1984,1766.0,3.0,2.0,594540,8
Residential,CONVENTION,Below Average,,Fair,1970,1970,832.0,2.0,1.0,249670,8
Residential,Single Family Dwelling,Average,Average,Fair,1972,1978,1512.0,3.0,2.0,353400,1
Residential,CONVENTION,Average,,Average,1991,1991,2524.0,3.0,3.0,1258720,8
Residential,CONVENTION,Average,,Average,1982,1982,1584.0,3.0,1.0,520950,8
Residential,Single Family Dwelling,Average,Average,Average,1974,1979,1954.0,4.0,3.0,768400,8
Residential,RANCH,Average,,Fair Plus,1974,1974,1008.0,3.0,2.0,500540,1
Residential,SUMMER SFR,Average,Average,Average,2009,2009,1810.0,3.0,3.0,551960,8
Residential,Outbuildings,Average,,Fair,2000,2000,0.0,,0.0,94970,8
Residential,Single Family Dwelling,Average,Average,Average,2016,2016,1127.0,1.0,1.0,424610,8
Residential,Single Family Dwelling,Salvage,Minimal,Low,1900,1936,484.0,2.0,1.0,19500,8
Residential,CABIN,Below Average,,Low,1949,1964,608.0,0.0,0.0,225100,8
Residential,Single Family Dwelling,Average,Average,Fair,1995,1995,1201.0,1.0,1.0,277440,8
Residential,SUMMER SFR,Below Average,,Fair,1964,1973,894.0,0.0,0.0,169640,8
Residential,Single Family Dwelling,Below Average,Below Average,Low,1985,1985,480.0,0.0,0.0,300110,8
Residential,Single Family Dwelling,Average,Average,Average,1970,1988,2936.0,4.0,4.0,1296830,8
Residential,SUMMER SFR,Average,,Poor,1952,1968,462.0,0.0,0.0,93350,8
Residential,Manufactured Housing,Average,,Good,1977,1979,2375.0,3.0,2.0,452480,8
Residential,EC 8 MANUFACT PURGED/ MSO,Average,,Good,2000,2000,1884.0,3.0,2.0,359260,8
Residential,Single Family Dwelling,Average,Average,Fair,1885,1965,,1.0,1.0,122540,8
Residential,CONVENTION,Average,,Fair,1981,1981,1481.0,0.0,2.0,572710,8
Residential,CONVENTION,Average,,Fair,1986,1994,2100.0,2.0,1.0,453210,8
Residential,Single Family Dwelling,Average,Average,Average,1977,1980,1302.0,2.0,3.0,752380,8
Residential,Single Family Dwelling,Good,Good,Good,1993,1996,2562.0,3.0,4.0,1670800,8
Residential,Single Family Dwelling,Average,,Fair,2001,2001,1510.0,3.0,2.0,516340,8
Residential,Single Family Dwelling,Average,Average,Average,1972,1978,1376.0,2.0,3.0,924090,8
Residential,Single Family Dwelling,Average,,Fair,1997,1997,992.0,3.0,1.0,240670,8
Residential,Single Family Dwelling,Below Average,,Fair,1970,1970,1380.0,4.0,3.0,220450,8
Residential,Single Family Dwelling,Average,,Fair,2004,2004,1848.0,2.0,2.0,532670,8
Residential,SUMMER SFR,Average,,Fair,1910,1928,576.0,0.0,0.0,175880,8
Residential,Single Family Dwelling,Good,Good,Average,1999,1999,1721.0,2.0,3.0,690370,8
Residential,Manufactured Housing,Average,,Fair,1972,1972,891.0,3.0,2.0,168150,1
Residential,Single Family Dwelling,Good,Good,Fair,2011,2012,0.0,0.0,1.0,220890,8
Residential,Single Family Dwelling,Average,Average,Fair,1977,1977,1296.0,3.0,2.0,360330,8
Residential,CONVENTION,Average,,Fair,1900,1962,2090.0,3.0,2.0,884920,8
Residential,LOG HOME,Average,Average,Good,1999,1999,1408.0,2.0,3.0,660230,8
Residential,CONVENTION,Average,,Average,1995,1995,1526.0,3.0,2.0,450820,1
Residential,CABIN,Average,Average,Fair,1984,1984,1015.0,1.0,0.0,231350,8
Residential,Single Family Dwelling,Average,Average,Fair,1969,1976,2926.0,4.0,4.0,1149400,8
Residential,Single Family Dwelling,Average,Average,Fair,1981,1987,1140.0,1.0,1.0,249040,8
Residential,Single Family Dwelling,Excellent,,Average Plus,2022,2022,2608.0,4.0,2.0,1208700,1
Residential,CONVENTION,Average,Average,Fair,1981,1984,2723.0,3.0,2.0,576980,1
Residential,Single Family Dwelling,Average,Average,Fair,1924,1950,944.0,1.0,1.0,273560,1
Residential,RANCH,Average,,Average,1979,1979,1447.0,0.0,2.0,436850,1
Residential,CONVENTION,Average,Average,Average,1985,1991,3452.0,3.0,3.0,1616870,8
Residential,Single Family Dwelling,Good,,Average,2011,2011,916.0,,,329810,8
Residential,Single Family Dwelling,Below Average,,Low,1979,1979,475.0,0.0,0.0,130890,8
Residential,CONVENTION,Average,,Average,1952,1966,2088.0,2.0,2.0,665150,8
Residential,SUMMER SFR,Average,,Low,1967,1982,1432.0,2.0,1.0,423230,8
Residential,CONVENTION,Good,Good,Good,1959,2000,4720.0,4.0,4.0,3045510,8
Residential,CONVENTION,Average,,Fair,1985,1985,1512.0,2.0,1.0,416190,8
Residential,Single Family Dwelling,Average,Average,Fair,1995,1995,1722.0,3.0,2.0,522490,8
Residential,CONVENTION,Average,,Fair,1958,1962,1551.0,1.0,1.0,341550,8
Residential,Single Family Dwelling,Below Average,,Low,1974,1974,520.0,0.0,0.0,127410,8
Residential,Single Family Dwelling,Average,Average,Fair,1949,1975,1824.0,2.0,2.0,473080,8
Residential,Single Family Dwelling,Average,Average,Fair,1976,1986,1120.0,4.0,2.0,380460,1
Residential,CONVENTION,Average,,Average,1982,1982,1962.0,0.0,2.0,782610,8
Residential,Single Family Dwelling,Minimum,Below Average,Low,1900,1936,485.0,2.0,1.0,63860,8
Residential,CONVENTION,Average,,Fair,1963,1972,1008.0,2.0,1.0,618470,8
Residential,EC 8 MANUFACT PURGED/ MSO,Average,,Good,1992,1992,1094.0,2.0,2.0,248890,8
Residential,SUMMER SFR,Average,,Fair,1972,1972,1271.0,3.0,1.0,360280,8
Residential,Single Family Dwelling,Good,Good,Average,2004,2004,2360.0,0.0,0.0,970650,8
Residential,Single Family Dwelling,Average,,Good,1978,2004,5597.0,6.0,8.0,0,6
Residential,LOG HOME,Average,,Average,1988,1998,1884.0,3.0,2.0,1047560,8
Residential,SUMMER SFR,Average,,Fair,1987,1987,1200.0,2.0,1.0,361130,8
Residential,Single Family Dwelling,Average,Average,Fair,1974,1980,2462.0,4.0,2.0,592380,1
Residential,Single Family Dwelling,Average,Average,Average,2008,2008,2504.0,3.0,2.0,915110,8
Residential,EC 1 MANUFACT PURGED/ MSO,Average,,Good,2002,2002,1858.0,3.0,2.0,436210,1
Residential,RANCH,Average,,Average,1975,1979,1092.0,3.0,2.0,418360,1
Residential,Single Family Dwelling,Good,Average,Fair,1972,1995,912.0,1.0,1.0,260170,8
Residential,Single Family Dwelling,Average,,Average,1981,1981,1580.0,3.0,3.0,438740,1
Residential,Single Family Dwelling,Average,Average,Average,2009,2011,1844.0,2.0,2.0,622540,8
Residential,Single Family Dwelling,Average,Average,Fair,1958,1968,1061.0,2.0,1.0,377190,8
Residential,Single Family Dwelling,Average,,Fair,1992,1993,,0.0,0.0,165190,8
Residential,CONVENTION,Average,,Average,1978,1979,1644.0,2.0,2.0,681710,8
Residential,EC 1 MANUFACT PURGED/ MSO,Average,,Good,1996,1996,1792.0,3.0,2.0,305760,1
Residential,Single Family Dwelling,Average,Average,Average,1972,1984,1335.0,2.0,1.0,797620,8
Residential,Single Family Dwelling,Average,,Fair,2002,2002,1649.0,3.0,2.0,373000,8
Residential,Single Family Dwelling,Good,Average,Average,1978,1996,2013.0,4.0,2.0,550840,1
Residential,CONVENTION,Average,,Average,1990,1993,1087.0,2.0,1.0,333550,8
Residential,Single Family Dwelling,Very Good,Very Good,Average,2011,2011,1288.0,2.0,2.0,491310,8
Residential,CONVENTION,Below Average,,Fair,1920,1948,1180.0,2.0,1.0,257890,8
Residential,Single Family Dwelling,Good,,Good,2017,2017,1872.0,3.0,3.0,1126020,8
Residential,Single Family Dwelling,Very Good,,Average,2018,2018,1442.0,3.0,2.0,536650,1
Residential,SUMMER SFR,Average,,Fair,1987,1992,1012.0,1.0,1.0,264480,8
Residential,Single Family Dwelling,Average,Average,Low,1978,1978,748.0,0.0,0.0,146310,8
Residential,CONVENTION,Below Average,,Low,1890,1965,1664.0,2.0,1.0,244630,8
Residential,Single Family Dwelling,Average,,Fair,1975,1975,0.0,0.0,1.0,34160,8
Residential,SUMMER SFR,Average,,Fair,2005,2005,1272.0,1.0,0.0,310270,8
Residential,SUMMER SFR,Average,,Fair,1973,1980,1680.0,2.0,1.0,486210,8
Residential,Single Family Dwelling,Average,Below Average,Fair,1951,1955,1156.0,2.0,1.0,379670,8
Residential,SUMMER SFR,Good,,Average Plus,1990,1994,1648.0,3.0,3.0,636320,8
Residential,Single Family Dwelling,Average,Average,Low,1980,1980,876.0,0.0,0.0,167060,8
Residential,CONVENTION,Average,,Fair,1978,1985,2162.0,3.0,2.0,544200,1
Residential,RANCH,Average,,Fair Plus,1977,1978,1008.0,3.0,2.0,533130,1
Residential,Single Family Dwelling,Good,Excellent,Average,2021,2021,2314.0,3.0,3.0,1289870,8
Residential,CONVENTION,Average,,Average,1981,1997,3334.0,4.0,3.0,1607720,8
Residential,CONVENTION,Average,,Fair,1983,1983,1440.0,3.0,2.0,522730,8
Residential,CONVENTION,Average,,Average,1966,1975,825.0,2.0,2.0,457710,1
Residential,Single Family Dwelling,Good,Good,Average Plus,2008,2008,2290.0,2.0,3.0,986710,1
Residential,SUMMER SFR,Average,,Average,1991,1991,416.0,2.0,1.0,235330,8
Residential,Single Family Dwelling,Average,Average,Fair,1999,1999,975.0,2.0,2.0,381950,8
Residential,SUMMER SFR,Below Average,,Low,1976,1976,1448.0,2.0,1.0,222830,8
Residential,CONVENTION,Average,,Average,1980,1980,1366.0,3.0,2.0,613920,8
Residential,Single Family Dwelling,Average,,Fair,1980,1980,1500.0,2.0,1.0,431970,8
Residential,Single Family Dwelling,Excellent,,Average,2018,2018,1575.0,2.0,2.0,537300,8
Residential,SUMMER SFR,Average,,Fair,1976,1976,658.0,2.0,0.0,167350,8
Residential,Single Family Dwelling,Average,Average,Average,1982,1985,2060.0,4.0,2.0,804600,8
Residential,CONVENTION,Average,Average,Fair,1972,1972,1798.0,3.0,2.0,470830,1
Residential,Single Family Dwelling,Average,,Fair,1981,1981,1186.0,2.0,2.0,479200,1
Residential,Single Family Dwelling,Average,,Fair,1961,1971,600.0,0.0,0.0,197100,8
Residential,CABIN,Average,,Low,1974,1979,713.0,1.0,0.0,148310,8
Residential,Single Family Dwelling,Average,Average,Average,1982,1991,1636.0,3.0,2.0,903080,8
Residential,CONVENTION,Average,Average,Average,1982,1982,974.0,2.0,1.0,353050,8
Residential,Single Family Dwelling,Average,,Average,1979,1985,2922.0,4.0,2.0,974870,8
Residential,Single Family Dwelling,Average,,Fair,1970,1980,1417.0,2.0,1.0,426420,8
Residential,SUMMER SFR,Average,,Fair,1967,1975,600.0,2.0,1.0,353840,8
Residential,Single Family Dwelling,Average,Average,Low,1986,1986,268.0,0.0,0.0,66140,8
Residential,Single Family Dwelling,Average,Average,Fair,1992,1992,1827.0,3.0,3.0,477480,1
Residential,RANCH,Average,,Average,2000,2000,1464.0,1.0,1.0,469720,1
Residential,Single Family Dwelling,Minimum,,Fair,1891,1931,1248.0,3.0,1.0,615340,6
Residential,Single Family Dwelling,Minimum,Minimal,Low,1970,1970,621.0,,,171900,8
Residential,Single Family Dwelling,Average,Average,Fair,1978,1978,,2.0,1.0,356320,8
Residential,SUMMER SFR,Below Average,,Low,1930,1930,786.0,1.0,1.0,152940,8
Residential,CONVENTION,Average,,Average,1981,1981,1039.0,2.0,1.0,460130,8
Residential,CONVENTION,Average,,Fair,1946,1964,1819.0,3.0,1.0,406100,1
Residential,CONVENTION,Average,,Fair,1982,1982,1316.0,2.0,2.0,398210,1
Residential,LOG HOME,Average,,Fair,1988,1988,2204.0,0.0,2.0,954360,8
Residential,Single Family Dwelling,Average,Average,Average,1976,1985,1208.0,2.0,2.0,659380,8
Residential,Single Family Dwelling,Average,Average,Fair,1985,1985,1132.0,2.0,1.0,253370,8
Residential,SUMMER SFR,Below Average,,Fair,1980,1980,432.0,0.0,0.0,121830,8
Residential,EC 1 MANUFACT PURGED/ MSO,Below Average,,Good,1999,1999,1152.0,3.0,2.0,171800,1
Residential,CONVENTION,Average,,Fair,1979,1979,1371.0,3.0,1.0,303840,8
Residential,A FRAME,Average,,Average,1979,1988,2426.0,2.0,2.0,850190,8
Residential,Single Family Dwelling,Average,Average,Fair,1976,1980,1180.0,2.0,1.0,265700,8
Residential,CONVENTION,Average,,Fair,1975,1975,1040.0,4.0,2.0,379540,1
Residential,CONVENTION,Average,,Average,1981,1981,1368.0,0.0,2.0,682260,8
Residential,SUMMER SFR,Average,,Low,1885,1952,604.0,3.0,1.0,156430,8
Residential,RANCH,Average,Average,Fair,1980,1980,1344.0,3.0,2.0,361330,1
Residential,CONVENTION,Average,,Average,1986,1986,2084.0,3.0,2.0,834430,8
Residential,Single Family Dwelling,Average,,Fair,1976,1980,1300.0,3.0,3.0,403500,1
Residential,CONVENTION,Average,,Average,1982,1984,1800.0,4.0,2.0,731350,8
Residential,CONVENTION,Average,,Fair,1969,1969,1479.0,3.0,2.0,818540,8
Residential,SUMMER SFR,Average,,Average,1973,1978,740.0,2.0,1.0,308420,8
Residential,CONVENTION,Average,,Average,2002,2002,2254.0,3.0,2.0,974100,8
Residential,Single Family Dwelling,Average,Average,Average Plus,2021,2021,1803.0,3.0,2.0,1431280,8
Residential,SUMMER SFR,Average,,Poor,1948,1948,643.0,0.0,1.0,116610,8
Residential,CONVENTION,Average,,Low Plus,1966,1974,1440.0,3.0,1.0,415770,8
Residential,CABIN,Salvage,,Poor,1981,1981,1024.0,1.0,0.0,94970,8
Residential,SUMMER SFR,Below Average,,Fair,1965,1965,768.0,1.0,1.0,189270,8
Residential,Single Family Dwelling,Average,,Fair,1982,1982,1232.0,0.0,2.0,442640,8
Residential,CONVENTION,Average,Average,Average,1997,1997,2369.0,3.0,4.0,571890,1
Residential,Single Family Dwelling,Average,,Good,1993,2001,2253.0,3.0,2.0,1011570,1
Residential,CONVENTION,Average,,Average,1969,1985,2404.0,3.0,2.0,605740,8
Residential,LOG HOME,Average,,Average,1982,1982,1664.0,2.0,2.0,986630,8
Residential,CONVENTION,Average,,Fair,1908,1955,516.0,1.0,1.0,147020,8
Residential,Single Family Dwelling,Average,,Fair Plus,1970,1976,1106.0,2.0,1.0,364340,8
Residential,Single Family Dwelling,Good,,Average,2011,2011,1329.0,2.0,2.0,533280,8
Residential,LOG HOME,Average,,Average,1997,1997,2586.0,3.0,2.0,1336400,8
Residential,CONVENTION,Good,Good,Fair,1938,1980,1192.0,2.0,2.0,613050,8
Residential,Single Family Dwelling,Average,Average,Average,1981,1985,1530.0,4.0,2.0,850300,8
Residential,RANCH,Average,,Fair,1978,1978,1344.0,3.0,2.0,347150,1
